RAM 5617/15825MB (lfb 247x4MB) SWAP 6/7912MB (cached 0MB) CPU [79%@2265,78%@2265,78%@2265,92%@2265,75%@2265,78%@2265,78%@2265,85%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 2% AO@44.5C GPU@52C Tdiode@47C PMIC@50C AUX@46C CPU@52C thermal@48.8C Tboard@43C GPU 0/0 CPU 11175/11175 SOC 3367/3367 CV 0/0 VDDRQ 1071/1071 SYS5V 3104/3104
RAM 5734/15825MB (lfb 218x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,90%@2265,85%@2265,84%@2265,85%@2265,86%@2265,88%@2265,92%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46C GPU@54C Tdiode@48.5C PMIC@50C AUX@48C CPU@53.5C thermal@51.75C Tboard@43C GPU 0/0 CPU 11940/11885 SOC 3061/3120 CV 0/0 VDDRQ 612/678 SYS5V 2903/2944
RAM 5687/15825MB (lfb 230x4MB) SWAP 6/7912MB (cached 0MB) CPU [84%@2265,85%@2265,84%@2265,85%@2265,85%@2265,85%@2265,85%@2265,99%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@46C GPU@55.5C Tdiode@48.5C PMIC@50C AUX@48C CPU@55C thermal@51.75C Tboard@43C GPU 0/0 CPU 13766/11964 SOC 3365/3130 CV 0/0 VDDRQ 917/688 SYS5V 3064/2949
RAM 5687/15825MB (lfb 230x4MB) SWAP 6/7912MB (cached 0MB) CPU [81%@2265,80%@2265,80%@2265,81%@2265,81%@2265,80%@2265,80%@2265,99%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@46C GPU@55.5C Tdiode@48.75C PMIC@50C AUX@48C CPU@55C thermal@52.35C Tboard@43C GPU 0/0 CPU 12848/11999 SOC 3671/3152 CV 0/0 VDDRQ 1223/709 SYS5V 3225/2960
RAM 5665/15825MB (lfb 235x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,86%@2265,86%@2265,87%@2265,87%@2265,87%@2265,87%@2265,99%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@48.5C PMIC@50C AUX@48C CPU@54C thermal@52.25C Tboard@43C GPU 0/0 CPU 12093/12003 SOC 3060/3148 CV 0/0 VDDRQ 612/705 SYS5V 2943/2960
RAM 5670/15825MB (lfb 235x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,87%@2265,87%@2265,87%@2265,86%@2265,87%@2265,87%@2265,100%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46C GPU@54.5C Tdiode@48.75C PMIC@50C AUX@48C CPU@54C thermal@52.05C Tboard@43C GPU 0/0 CPU 11481/11983 SOC 3061/3145 CV 0/0 VDDRQ 612/702 SYS5V 2903/2958
RAM 5758/15825MB (lfb 215x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,83%@2265,85%@2265,86%@2265,86%@2265,85%@2265,86%@2265,99%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@48.75C PMIC@50C AUX@48C CPU@54C thermal@52.05C Tboard@43C GPU 0/0 CPU 11940/11982 SOC 3061/3142 CV 0/0 VDDRQ 612/699 SYS5V 2943/2957
RAM 5670/15825MB (lfb 235x4MB) SWAP 6/7912MB (cached 0MB) CPU [87%@2265,86%@2265,87%@2265,86%@2265,86%@2265,87%@2265,86%@2265,100%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46C GPU@55C Tdiode@48.75C PMIC@50C AUX@48C CPU@54.5C thermal@52.05C Tboard@43C GPU 0/0 CPU 11940/11980 SOC 3061/3139 CV 0/0 VDDRQ 612/696 SYS5V 2903/2955
RAM 5670/15825MB (lfb 235x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,84%@2265,85%@2265,84%@2265,85%@2265,86%@2265,85%@2265,99%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@53.5C Tdiode@48.75C PMIC@50C AUX@48C CPU@53C thermal@51.95C Tboard@43C GPU 0/0 CPU 11328/11958 SOC 3061/3137 CV 0/0 VDDRQ 612/693 SYS5V 2943/2955
RAM 5670/15825MB (lfb 235x4MB) SWAP 6/7912MB (cached 0MB) CPU [84%@2265,85%@2265,85%@2265,84%@2265,83%@2265,84%@2265,84%@2265,100%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46C GPU@54.5C Tdiode@48.75C PMIC@50C AUX@48C CPU@54C thermal@51.75C Tboard@43C GPU 0/0 CPU 11787/11953 SOC 3061/3134 CV 0/0 VDDRQ 612/690 SYS5V 2903/2953
RAM 5677/15825MB (lfb 233x4MB) SWAP 6/7912MB (cached 0MB) CPU [83%@2265,83%@2265,83%@2265,83%@2265,84%@2265,83%@2265,83%@2265,99%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@46.5C GPU@55.5C Tdiode@48.75C PMIC@50C AUX@48C CPU@55C thermal@51.75C Tboard@43C GPU 0/0 CPU 13001/11986 SOC 3671/3151 CV 0/0 VDDRQ 1070/702 SYS5V 3185/2960
RAM 5832/15825MB (lfb 198x4MB) SWAP 6/7912MB (cached 0MB) CPU [98%@2265,86%@2265,86%@2265,85%@2265,84%@2265,85%@2265,85%@2265,86%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 1% bg 0% AO@46.5C GPU@55C Tdiode@48.75C PMIC@50C AUX@48C CPU@54.5C thermal@52.35C Tboard@43C GPU 0/0 CPU 12241/11993 SOC 3213/3153 CV 0/0 VDDRQ 765/704 SYS5V 2983/2961
RAM 5717/15825MB (lfb 224x4MB) SWAP 6/7912MB (cached 0MB) CPU [100%@2265,86%@2265,85%@2265,86%@2265,86%@2265,85%@2265,85%@2265,86%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 1% bg 0% AO@46.5C GPU@54.5C Tdiode@48.75C PMIC@50C AUX@48C CPU@54C thermal@52.25C Tboard@43C GPU 0/0 CPU 12093/11996 SOC 3061/3150 CV 0/0 VDDRQ 612/701 SYS5V 2903/2959
RAM 5773/15825MB (lfb 212x4MB) SWAP 6/7912MB (cached 0MB) CPU [99%@2265,85%@2265,85%@2265,86%@2265,85%@2265,86%@2265,86%@2265,84%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 1% bg 0% AO@46.5C GPU@55C Tdiode@48.75C PMIC@50C AUX@48C CPU@54.5C thermal@52.05C Tboard@43C GPU 0/0 CPU 12247/12003 SOC 3061/3147 CV 0/0 VDDRQ 612/699 SYS5V 2903/2958
RAM 5713/15825MB (lfb 226x4MB) SWAP 6/7912MB (cached 0MB) CPU [91%@2265,95%@2265,85%@2265,86%@2265,85%@2265,86%@2265,86%@2265,86%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48C CPU@54.5C thermal@52.05C Tboard@43C GPU 0/0 CPU 12093/12006 SOC 3061/3145 CV 0/0 VDDRQ 612/696 SYS5V 2903/2956
RAM 5774/15825MB (lfb 212x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,98%@2265,86%@2265,85%@2265,86%@2265,86%@2265,86%@2265,85%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@48.75C PMIC@50C AUX@48C CPU@54.5C thermal@51.95C Tboard@43C GPU 0/0 CPU 12247/12012 SOC 3060/3143 CV 0/0 VDDRQ 612/694 SYS5V 2903/2955
RAM 5783/15825MB (lfb 211x4MB) SWAP 6/7912MB (cached 0MB) CPU [84%@2265,94%@2265,86%@2265,86%@2265,84%@2265,83%@2265,84%@2265,84%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@46.5C GPU@56C Tdiode@48.75C PMIC@50C AUX@48.5C CPU@55.5C thermal@52.05C Tboard@43C GPU 0/0 CPU 13160/12043 SOC 3213/3145 CV 0/0 VDDRQ 611/692 SYS5V 2943/2954
RAM 5696/15825MB (lfb 230x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,85%@2265,100%@2265,84%@2265,83%@2265,84%@2265,84%@2265,84%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@46.5C GPU@55.5C Tdiode@49C PMIC@50C AUX@48.5C CPU@55C thermal@52.65C Tboard@43C GPU 0/0 CPU 13001/12067 SOC 3518/3154 CV 0/0 VDDRQ 1070/702 SYS5V 3144/2959
RAM 5733/15825MB (lfb 223x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,85%@2265,100%@2265,85%@2265,85%@2265,84%@2265,85%@2265,85%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@46.5C GPU@55.5C Tdiode@49C PMIC@50C AUX@48.5C CPU@55C thermal@52.85C Tboard@43C GPU 0/0 CPU 12700/12083 SOC 3366/3159 CV 0/0 VDDRQ 764/703 SYS5V 3024/2961
RAM 5695/15825MB (lfb 230x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,87%@2265,99%@2265,87%@2265,86%@2265,87%@2265,87%@2265,87%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@46.5C GPU@54.5C Tdiode@49.25C PMIC@50C AUX@48.5C CPU@54C thermal@52.55C Tboard@44C GPU 0/0 CPU 11328/12065 SOC 3061/3157 CV 0/0 VDDRQ 612/701 SYS5V 2943/2960
RAM 5693/15825MB (lfb 230x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,85%@2265,100%@2265,85%@2265,84%@2265,86%@2265,86%@2265,86%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@51.95C Tboard@44C GPU 0/0 CPU 11787/12058 SOC 3061/3155 CV 0/0 VDDRQ 612/699 SYS5V 2903/2959
RAM 5693/15825MB (lfb 230x4MB) SWAP 6/7912MB (cached 0MB) CPU [88%@2265,86%@2265,99%@2265,87%@2265,86%@2265,86%@2265,87%@2265,87%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@46.5C GPU@54C Tdiode@49C PMIC@50C AUX@48C CPU@53.5C thermal@51.95C Tboard@44C GPU 0/0 CPU 11175/12037 SOC 3061/3153 CV 0/0 VDDRQ 612/697 SYS5V 2943/2959
RAM 5694/15825MB (lfb 230x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,86%@2265,99%@2265,85%@2265,85%@2265,85%@2265,85%@2265,86%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@51.45C Tboard@44C GPU 0/0 CPU 11940/12035 SOC 3061/3150 CV 0/0 VDDRQ 612/695 SYS5V 2903/2957
RAM 5812/15825MB (lfb 205x4MB) SWAP 6/7912MB (cached 0MB) CPU [88%@2265,88%@2265,99%@2265,86%@2265,87%@2265,88%@2265,87%@2265,86%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 1% bg 0% AO@46.5C GPU@54C Tdiode@49C PMIC@50C AUX@48C CPU@53.5C thermal@51.95C Tboard@44C GPU 0/0 CPU 11328/12019 SOC 3061/3148 CV 0/0 VDDRQ 612/693 SYS5V 2943/2957
RAM 5706/15825MB (lfb 230x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,83%@2265,99%@2265,83%@2265,82%@2265,83%@2265,83%@2265,83%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@46.5C GPU@56C Tdiode@49C PMIC@50C AUX@48.5C CPU@55.5C thermal@52.05C Tboard@44C GPU 0/0 CPU 13160/12044 SOC 3518/3156 CV 0/0 VDDRQ 917/698 SYS5V 3104/2960
RAM 5644/15825MB (lfb 239x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,86%@2265,94%@2265,91%@2265,85%@2265,85%@2265,85%@2265,86%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.85C Tboard@44C GPU 0/0 CPU 12547/12055 SOC 3213/3158 CV 0/0 VDDRQ 764/699 SYS5V 2983/2961
RAM 5691/15825MB (lfb 229x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,85%@2265,94%@2265,86%@2265,84%@2265,87%@2265,85%@2265,83%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55.5C Tdiode@49.25C PMIC@50C AUX@48.5C CPU@55C thermal@51.65C Tboard@44C GPU 0/0 CPU 12553/12065 SOC 3060/3156 CV 0/0 VDDRQ 612/697 SYS5V 2903/2959
RAM 5736/15825MB (lfb 218x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,85%@2265,99%@2265,85%@2265,86%@2265,84%@2265,85%@2265,85%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@54.5C Tdiode@49C PMIC@50C AUX@48.5C CPU@54C thermal@52.05C Tboard@44C GPU 0/0 CPU 12247/12069 SOC 3061/3154 CV 0/0 VDDRQ 612/696 SYS5V 2903/2958
RAM 5736/15825MB (lfb 218x4MB) SWAP 6/7912MB (cached 0MB) CPU [85%@2265,85%@2265,99%@2265,85%@2265,84%@2265,83%@2265,85%@2265,85%@2265] EMC_FREQ 4%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.25C Tboard@44C GPU 0/0 CPU 12093/12069 SOC 3060/3152 CV 0/0 VDDRQ 612/694 SYS5V 2903/2957
RAM 5689/15825MB (lfb 229x4MB) SWAP 6/7912MB (cached 0MB) CPU [83%@2265,83%@2265,100%@2265,83%@2265,83%@2265,83%@2265,83%@2265,83%@2265] EMC_FREQ 6%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 1% AO@46.5C GPU@56C Tdiode@49C PMIC@50C AUX@48.5C CPU@55.5C thermal@52.85C Tboard@44C GPU 0/0 CPU 13460/12097 SOC 3518/3159 CV 0/0 VDDRQ 1070/701 SYS5V 3144/2961
RAM 5758/15825MB (lfb 212x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,85%@2265,99%@2265,86%@2265,87%@2265,86%@2265,87%@2265,86%@2265] EMC_FREQ 7%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.25C Tboard@44C GPU 0/0 CPU 12394/12102 SOC 3213/3160 CV 0/0 VDDRQ 764/702 SYS5V 3024/2962
RAM 5787/15825MB (lfb 205x4MB) SWAP 6/7912MB (cached 0MB) CPU [86%@2265,85%@2265,97%@2265,86%@2265,84%@2265,84%@2265,84%@2265,85%@2265] EMC_FREQ 5%@2133 GR3D_FREQ 0%@318 APE 150 MTS fg 0% bg 0% AO@46.5C GPU@55C Tdiode@49C PMIC@50C AUX@48.5C CPU@54.5C thermal@52.55C Tboard@44C GPU 0/0 CPU 11940/12099 SOC 3061/3158 CV 0/0 VDDRQ 612/701 SYS5V 2903/2961
